index,Grid_X,Grid_Y,Longitude,Latitude
102,62,126,127.08453333333333,37.535738888888886
103,62,128,127.09477777777778,37.60380555555556
104,62,121,127.10009722222222,37.319386111111115
105,62,97,127.1009111111111,36.18420277777778
106,62,126,127.10793055555555,37.51175555555555
107,63,89,127.11105277777777,35.817275
108,62,114,127.11465555555554,36.98943888888889
109,62,120,127.11678888888888,37.27759722222222
110,62,123,127.12101944444444,37.37996944444445
111,63,102,127.12111944444443,36.44361388888888
112,63,89,127.12191944444444,35.80918888888888
113,62,126,127.12586388888889,37.527366666666666
114,62,127,127.13186388888889,37.591625
115,63,89,127.13641944444446,35.82638611111111
116,63,124,127.13941944444446,37.42766944444444
117,63,79,127.13963055555556,35.37138888888889
118,63,124,127.14771944444445,37.447491666666664
119,63,89,127.14959722222223,35.84296944444445
120,63,110,127.15246666666667,36.804125
121,63,112,127.15719722222222,36.87555833333333
122,64,134,127.20241944444444,37.892155555555554
123,64,119,127.20384444444444,37.231477777777776
124,64,126,127.217,37.53649722222222
125,64,128,127.21863333333333,37.63317777777778
126,65,99,127.25093055555556,36.271836111111114
127,65,123,127.25778611111112,37.41450555555556
128,65,115,127.28184444444445,37.005175
129,66,84,127.28475277777778,35.60806388888889
130,66,62,127.28705555555555,34.608069444444446
131,66,103,127.2890691,36.4800121
132,66,103,127.2890691,36.4800121
133,66,77,127.29410833333333,35.278955555555555
134,65,139,127.31573333333333,38.14405555555555
135,67,101,127.35834166666666,36.359366666666666
136,67,106,127.35941944444444,36.6182
137,67,100,127.38577500000001,36.35248333333333
138,67,100,127.38656666666667,36.347119444444445
139,68,80,127.39250000000001,35.41325555555555
140,68,100,127.41768611111111,36.34379444444445
141,68,100,127.42295555555556,36.32387222222223
142,68,100,127.42311111111111,36.322630555555556
143,68,88,127.42696666666667,35.788719444444446
144,68,100,127.43485277777778,36.324133333333336
145,68,111,127.43764444444444,36.85253888888889
146,68,121,127.44321944444445,37.27543611111111
